x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel
1293499.130,5044345.190,312.490,3,353620819.313073,10.998,11008,1,1,6,0,0,0,0,0,0
1293499.930,5044344.720,311.940,3,353620819.313080,10.998,11776,1,1,6,0,0,0,0,0,0
1293500.420,5044344.380,313.070,4,353620819.313087,10.998,14848,1,1,6,0,0,0,0,0,0
1293501.080,5044343.970,313.220,4,353620819.313093,10.998,14080,1,1,6,0,0,0,0,0,0
1293501.720,5044343.570,313.520,4,353620819.313100,10.998,9472,1,1,6,0,0,0,0,0,0
1293502.500,5044343.110,313.070,4,353620819.313107,10.998,16640,1,1,6,0,0,0,0,0,0
1293502.790,5044343.220,313.530,4,353620819.318945,10.998,11008,1,1,6,0,0,0,0,0,0
1293502.230,5044343.590,312.830,4,353620819.318952,10.998,11264,1,1,6,0,0,0,0,0,0
1293501.550,5044344.000,312.680,4,353620819.318959,10.998,9728,1,1,6,0,0,0,0,0,0
1293500.790,5044344.460,313.040,4,353620819.318965,10.998,14592,1,1,6,0,0,0,0,0,0
1293500.230,5044344.830,312.260,3,353620819.318972,10.998,10240,1,1,6,0,0,0,0,0,0
1293499.490,5044345.270,312.490,3,353620819.318979,10.998,14080,1,1,6,0,0,0,0,0,0
1293498.840,5044345.680,312.230,3,353620819.318986,10.998,12288,1,1,6,0,0,0,0,0,0
1293498.200,5044346.090,311.860,3,353620819.318993,10.998,7680,1,1,6,0,0,0,0,0,0
1293497.500,5044346.520,311.860,2,353620819.318999,10.998,8448,1,1,6,0,0,0,0,0,0
1293496.780,5044346.950,311.880,3,353620819.319006,10.998,7168,1,1,6,0,0,0,0,0,0
1293496.090,5044347.380,311.870,3,353620819.319013,10.998,7936,1,1,6,0,0,0,0,0,0
1293495.280,5044347.850,312.370,3,353620819.319020,10.998,14336,1,1,6,0,0,0,0,0,0
1293494.610,5044348.270,312.210,3,353620819.319026,10.002,16384,1,1,6,0,0,0,0,0,0
1293493.950,5044348.680,311.890,3,353620819.319033,10.002,9472,1,1,6,0,0,0,0,0,0
1293493.250,5044349.120,311.840,3,353620819.319040,10.002,8960,1,1,6,0,0,0,0,0,0
1293492.520,5044349.560,311.940,3,353620819.319047,10.002,6400,1,1,6,0,0,0,0,0,0
1293491.660,5044350.060,312.760,4,353620819.319054,10.002,3840,1,1,6,0,0,0,0,0,0
1293490.930,5044350.500,312.820,4,353620819.319061,10.002,2304,1,1,6,0,0,0,0,0,0
1293490.630,5044350.760,310.590,3,353620819.319067,10.002,12288,1,1,6,0,0,0,0,0,0
1293490.150,5044351.780,310.870,3,353620819.332893,10.002,14592,1,1,6,0,0,0,0,0,0
1293490.530,5044351.480,312.660,4,353620819.332900,10.002,3584,1,1,6,0,0,0,0,0,0
1293491.380,5044350.990,311.890,3,353620819.332906,10.002,14336,1,1,6,0,0,0,0,0,0
1293492.080,5044350.560,311.960,3,353620819.332913,10.002,12032,1,1,6,0,0,0,0,0,0
1293492.810,5044350.120,311.850,2,353620819.332920,10.002,8448,1,1,6,0,0,0,0,0,0
1293493.520,5044349.680,311.840,2,353620819.332927,10.002,8448,1,1,6,0,0,0,0,0,0
1293494.230,5044349.250,311.850,3,353620819.332934,10.002,9472,1,1,6,0,0,0,0,0,0
1293494.890,5044348.840,312.100,3,353620819.332941,10.002,9984,1,1,6,0,0,0,0,0,0
1293495.650,5044348.380,311.840,3,353620819.332947,10.998,9728,1,1,6,0,0,0,0,0,0
1293496.350,5044347.960,311.840,2,353620819.332954,10.998,8704,1,1,6,0,0,0,0,0,0
1293497.060,5044347.520,311.850,2,353620819.332961,10.998,9984,1,1,6,0,0,0,0,0,0
1293497.750,5044347.100,311.880,2,353620819.332968,10.998,10240,1,1,6,0,0,0,0,0,0
1293498.450,5044346.670,311.880,2,353620819.332975,10.998,9984,1,1,6,0,0,0,0,0,0
1293499.100,5044346.260,312.190,3,353620819.332981,10.998,14592,1,1,6,0,0,0,0,0,0
1293499.730,5044345.870,312.550,3,353620819.332988,10.998,16896,1,1,6,0,0,0,0,0,0
1293500.550,5044345.380,311.890,3,353620819.332995,10.998,11776,1,1,6,0,0,0,0,0,0
1293501.100,5044345.020,312.720,3,353620819.333002,10.998,14592,1,1,6,0,0,0,0,0,0
1293501.830,5044344.580,312.530,3,353620819.333009,10.998,9984,1,1,6,0,0,0,0,0,0
1293502.460,5044344.180,312.890,4,353620819.333015,10.998,12288,1,1,6,0,0,0,0,0,0
1293503.160,5044343.760,312.820,4,353620819.333022,10.998,11520,1,1,6,0,0,0,0,0,0
1293503.640,5044343.420,313.940,4,353620819.333029,10.998,13824,1,1,6,0,0,0,0,0,0
1293504.670,5044343.070,313.820,4,353620819.338860,10.998,17664,1,1,6,0,0,0,0,0,0
1293504.020,5044343.470,313.580,4,353620819.338867,10.998,15616,1,1,6,0,0,0,0,0,0
1293503.460,5044343.840,312.870,4,353620819.338874,10.998,12288,1,1,6,0,0,0,0,0,0
1293502.700,5044344.300,313.200,4,353620819.338880,10.998,8960,1,1,6,0,0,0,0,0,0
1293502.190,5044344.640,312.180,3,353620819.338887,10.998,11520,1,1,6,0,0,0,0,0,0
1293501.440,5044345.100,312.450,3,353620819.338894,10.998,12800,1,1,6,0,0,0,0,0,0
1293500.820,5044345.490,312.010,3,353620819.338901,10.998,9728,1,1,6,0,0,0,0,0,0
1293500.040,5044345.950,312.420,3,353620819.338907,10.998,14336,1,1,6,0,0,0,0,0,0
1293499.390,5044346.360,312.150,3,353620819.338914,10.998,12800,1,1,6,0,0,0,0,0,0
1293498.730,5044346.770,311.860,2,353620819.338921,10.998,9728,1,1,6,0,0,0,0,0,0
1293498.020,5044347.210,311.890,2,353620819.338928,10.998,10240,1,1,6,0,0,0,0,0,0
1293497.320,5044347.640,311.890,2,353620819.338935,10.998,9216,1,1,6,0,0,0,0,0,0
1293496.620,5044348.070,311.840,2,353620819.338942,10.998,7936,1,1,6,0,0,0,0,0,0
